,date,confirmed
0,2020-05-05,101
1,2020-05-04,89
2,2020-05-03,88
3,2020-05-02,88
4,2020-05-01,78
5,2020-04-30,67
6,2020-04-29,67
7,2020-04-28,58
8,2020-04-27,58
9,2020-04-26,58
10,2020-04-25,45
11,2020-04-24,45
12,2020-04-23,31
13,2020-04-22,31
14,2020-04-21,25
15,2020-04-20,19
16,2020-04-19,15
17,2020-04-18,15
18,2020-04-17,15
19,2020-04-16,15
20,2020-04-15,15
21,2020-04-14,11
22,2020-04-13,11
23,2020-04-12,10
24,2020-04-11,8
25,2020-04-10,8
26,2020-04-09,3
27,2020-04-08,3
28,2020-04-07,3
29,2020-04-06,2
30,2020-04-05,2
31,2020-04-04,2
32,2020-04-03,2
33,2020-04-02,1
34,2020-04-01,1
35,2020-03-31,1
36,2020-03-30,1
37,2020-03-29,1
38,2020-03-28,1
